id,text,finding,label
train_421,Questionable pulmonary embolism is described after recent surgery.,pulmonary embolism,uncertain
train_422,Possible pulmonary embolism is noted after an abnormal screening study.,pulmonary embolism,uncertain
train_423,Pulmonary embolism is not excluded during preoperative assessment.,pulmonary embolism,uncertain
train_424,Imaging raises the possibility of pulmonary embolism after two days of cough.,pulmonary embolism,uncertain
train_425,Indeterminate findings could represent pulmonary embolism following overnight observation.,pulmonary embolism,uncertain
train_426,Pulmonary embolism cannot be excluded with oxygen saturation of 93%.,pulmonary embolism,uncertain
train_427,There may be pulmonary embolism with a history of cancer.,pulmonary embolism,uncertain
train_428,Questionable pulmonary embolism is described with pleuritic symptoms.,pulmonary embolism,uncertain
train_429,Possible DVT is noted after a fall at home.,DVT,uncertain
train_430,DVT is not excluded during admission for dyspnea.,DVT,uncertain
train_431,Imaging raises the possibility of DVT during follow-up imaging.,DVT,uncertain
train_432,Indeterminate findings could represent DVT on morning rounds.,DVT,uncertain
train_433,DVT cannot be excluded with elevated inflammatory markers.,DVT,uncertain
train_434,There may be DVT after repeat ultrasound.,DVT,uncertain
train_435,Questionable DVT is described with tachycardia in triage.,DVT,uncertain
train_436,Possible DVT is noted on contrast-enhanced CT.,DVT,uncertain
train_437,DVT is not excluded in the emergency department.,DVT,uncertain
train_438,Imaging raises the possibility of DVT while receiving inpatient care.,DVT,uncertain
train_439,Indeterminate findings could represent DVT during workup for leg pain.,DVT,uncertain
train_440,DVT cannot be excluded with worsening shortness of breath.,DVT,uncertain
train_441,There may be DVT during evaluation for chest pain.,DVT,uncertain
train_442,Questionable DVT is described on portable chest radiograph.,DVT,uncertain
train_443,Possible pleural effusion is noted after an abnormal screening study.,pleural effusion,uncertain
train_444,Pleural effusion is not excluded during preoperative assessment.,pleural effusion,uncertain
train_445,Imaging raises the possibility of pleural effusion after two days of cough.,pleural effusion,uncertain
train_446,Indeterminate findings could represent pleural effusion following overnight observation.,pleural effusion,uncertain
train_447,Pleural effusion cannot be excluded with oxygen saturation of 93%.,pleural effusion,uncertain
train_448,There may be pleural effusion with a history of cancer.,pleural effusion,uncertain
train_449,Questionable pleural effusion is described with pleuritic symptoms.,pleural effusion,uncertain
train_450,Possible pleural effusion is noted after outpatient referral.,pleural effusion,uncertain
train_451,Pleural effusion is not excluded on discharge summary review.,pleural effusion,uncertain
train_452,Imaging raises the possibility of pleural effusion after a fall at home.,pleural effusion,uncertain
train_453,Indeterminate findings could represent pleural effusion during admission for dyspnea.,pleural effusion,uncertain
train_454,Pleural effusion cannot be excluded during follow-up imaging.,pleural effusion,uncertain
train_455,There may be pleural effusion on morning rounds.,pleural effusion,uncertain
train_456,Questionable pleural effusion is described with elevated inflammatory markers.,pleural effusion,uncertain
train_457,Possible pneumothorax is noted on contrast-enhanced CT.,pneumothorax,uncertain
train_458,Pneumothorax is not excluded in the emergency department.,pneumothorax,uncertain
train_459,Imaging raises the possibility of pneumothorax while receiving inpatient care.,pneumothorax,uncertain
train_460,Indeterminate findings could represent pneumothorax during workup for leg pain.,pneumothorax,uncertain
train_461,Pneumothorax cannot be excluded with worsening shortness of breath.,pneumothorax,uncertain
train_462,There may be pneumothorax during evaluation for chest pain.,pneumothorax,uncertain
train_463,Questionable pneumothorax is described on portable chest radiograph.,pneumothorax,uncertain
train_464,Possible pneumothorax is noted after persistent leukocytosis.,pneumothorax,uncertain
train_465,Pneumothorax is not excluded after recent surgery.,pneumothorax,uncertain
train_466,Imaging raises the possibility of pneumothorax after an abnormal screening study.,pneumothorax,uncertain
train_467,Indeterminate findings could represent pneumothorax during preoperative assessment.,pneumothorax,uncertain
train_468,Pneumothorax cannot be excluded after two days of cough.,pneumothorax,uncertain
train_469,There may be pneumothorax following overnight observation.,pneumothorax,uncertain
train_470,Questionable pneumothorax is described with oxygen saturation of 93%.,pneumothorax,uncertain
train_471,Likely consolidation is described after outpatient referral.,consolidation,uncertain
train_472,Findings are suspicious for consolidation on discharge summary review.,consolidation,uncertain
train_473,The appearance is suggestive of consolidation after a fall at home.,consolidation,uncertain
train_474,Radiologist reported suspected consolidation during admission for dyspnea.,consolidation,uncertain
train_475,Probable consolidation is noted during follow-up imaging.,consolidation,uncertain
train_476,Impression favors consolidation on morning rounds.,consolidation,uncertain
train_477,Clinical picture is concerning for consolidation with elevated inflammatory markers.,consolidation,uncertain
train_478,Likely consolidation is described after repeat ultrasound.,consolidation,uncertain
train_479,Findings are suspicious for consolidation with tachycardia in triage.,consolidation,uncertain
train_480,The appearance is suggestive of consolidation on contrast-enhanced CT.,consolidation,uncertain
train_481,Radiologist reported suspected consolidation in the emergency department.,consolidation,uncertain
train_482,Probable consolidation is noted while receiving inpatient care.,consolidation,uncertain
train_483,Impression favors consolidation during workup for leg pain.,consolidation,uncertain
train_484,Radiologist reported suspected atelectasis with oxygen saturation of 93%.,atelectasis,uncertain
train_485,Probable atelectasis is noted with a history of cancer.,atelectasis,uncertain
train_486,Impression favors atelectasis with pleuritic symptoms.,atelectasis,uncertain
train_487,Clinical picture is concerning for atelectasis after outpatient referral.,atelectasis,uncertain
train_488,Likely atelectasis is described on discharge summary review.,atelectasis,uncertain
train_489,Findings are suspicious for atelectasis after a fall at home.,atelectasis,uncertain
train_490,The appearance is suggestive of atelectasis during admission for dyspnea.,atelectasis,uncertain
train_491,Radiologist reported suspected atelectasis during follow-up imaging.,atelectasis,uncertain
train_492,Probable atelectasis is noted on morning rounds.,atelectasis,uncertain
train_493,Impression favors atelectasis with elevated inflammatory markers.,atelectasis,uncertain
train_494,Clinical picture is concerning for atelectasis after repeat ultrasound.,atelectasis,uncertain
train_495,Likely atelectasis is described with tachycardia in triage.,atelectasis,uncertain
train_496,Findings are suspicious for atelectasis on contrast-enhanced CT.,atelectasis,uncertain
train_497,Clinical picture is concerning for cardiomegaly during preoperative assessment.,cardiomegaly,uncertain
train_498,Likely cardiomegaly is described after two days of cough.,cardiomegaly,uncertain
train_499,Findings are suspicious for cardiomegaly following overnight observation.,cardiomegaly,uncertain
train_500,The appearance is suggestive of cardiomegaly with oxygen saturation of 93%.,cardiomegaly,uncertain
train_501,Radiologist reported suspected cardiomegaly with a history of cancer.,cardiomegaly,uncertain
train_502,Probable cardiomegaly is noted with pleuritic symptoms.,cardiomegaly,uncertain
train_503,Impression favors cardiomegaly after outpatient referral.,cardiomegaly,uncertain
train_504,Clinical picture is concerning for cardiomegaly on discharge summary review.,cardiomegaly,uncertain
train_505,Likely cardiomegaly is described after a fall at home.,cardiomegaly,uncertain
train_506,Findings are suspicious for cardiomegaly during admission for dyspnea.,cardiomegaly,uncertain
train_507,The appearance is suggestive of cardiomegaly during follow-up imaging.,cardiomegaly,uncertain
train_508,Radiologist reported suspected cardiomegaly on morning rounds.,cardiomegaly,uncertain
train_509,Probable cardiomegaly is noted with elevated inflammatory markers.,cardiomegaly,uncertain
train_510,The appearance is suggestive of fracture after persistent leukocytosis.,fracture,uncertain
train_511,Radiologist reported suspected fracture after recent surgery.,fracture,uncertain
train_512,Probable fracture is noted after an abnormal screening study.,fracture,uncertain
train_513,Impression favors fracture during preoperative assessment.,fracture,uncertain
train_514,Clinical picture is concerning for fracture after two days of cough.,fracture,uncertain
train_515,Likely fracture is described following overnight observation.,fracture,uncertain
train_516,Findings are suspicious for fracture with oxygen saturation of 93%.,fracture,uncertain
train_517,The appearance is suggestive of fracture with a history of cancer.,fracture,uncertain
train_518,Radiologist reported suspected fracture with pleuritic symptoms.,fracture,uncertain
train_519,Probable fracture is noted after outpatient referral.,fracture,uncertain
train_520,Impression favors fracture on discharge summary review.,fracture,uncertain
train_521,Clinical picture is concerning for fracture after a fall at home.,fracture,uncertain
train_522,Likely fracture is described during admission for dyspnea.,fracture,uncertain
train_523,Impression favors malignancy with worsening shortness of breath.,malignancy,uncertain
train_524,Clinical picture is concerning for malignancy during evaluation for chest pain.,malignancy,uncertain
train_525,Likely malignancy is described on portable chest radiograph.,malignancy,uncertain
train_526,Findings are suspicious for malignancy after persistent leukocytosis.,malignancy,uncertain
train_527,The appearance is suggestive of malignancy after recent surgery.,malignancy,uncertain
train_528,Radiologist reported suspected malignancy after an abnormal screening study.,malignancy,uncertain
train_529,Probable malignancy is noted during preoperative assessment.,malignancy,uncertain
train_530,Impression favors malignancy after two days of cough.,malignancy,uncertain
train_531,Clinical picture is concerning for malignancy following overnight observation.,malignancy,uncertain
train_532,Likely malignancy is described with oxygen saturation of 93%.,malignancy,uncertain
train_533,Findings are suspicious for malignancy with a history of cancer.,malignancy,uncertain
train_534,The appearance is suggestive of malignancy with pleuritic symptoms.,malignancy,uncertain
train_535,Radiologist reported suspected malignancy after outpatient referral.,malignancy,uncertain
train_536,Findings are suspicious for fever in the emergency department.,fever,uncertain
train_537,The appearance is suggestive of fever while receiving inpatient care.,fever,uncertain
train_538,Radiologist reported suspected fever during workup for leg pain.,fever,uncertain
train_539,Probable fever is noted with worsening shortness of breath.,fever,uncertain
train_540,Impression favors fever during evaluation for chest pain.,fever,uncertain
train_541,Plan includes monitoring for fever on portable chest radiograph.,fever,uncertain
train_542,Treat as fever if confirmed after persistent leukocytosis.,fever,uncertain
train_543,Differential includes fever after recent surgery.,fever,uncertain
train_544,Repeat imaging was recommended to evaluate for fever after an abnormal screening study.,fever,uncertain
train_545,Consider fever if symptoms persist during preoperative assessment.,fever,uncertain
train_546,Cannot rule out fever after two days of cough.,fever,uncertain
train_547,Further testing is needed to assess for fever following overnight observation.,fever,uncertain
train_548,Plan includes monitoring for fever with oxygen saturation of 93%.,fever,uncertain
train_549,Cannot rule out edema after repeat ultrasound.,edema,uncertain
train_550,Further testing is needed to assess for edema with tachycardia in triage.,edema,uncertain
train_551,Plan includes monitoring for edema on contrast-enhanced CT.,edema,uncertain
train_552,Treat as edema if confirmed in the emergency department.,edema,uncertain
train_553,Differential includes edema while receiving inpatient care.,edema,uncertain
train_554,Repeat imaging was recommended to evaluate for edema during workup for leg pain.,edema,uncertain
train_555,Consider edema if symptoms persist with worsening shortness of breath.,edema,uncertain
train_556,Cannot rule out edema during evaluation for chest pain.,edema,uncertain
train_557,Further testing is needed to assess for edema on portable chest radiograph.,edema,uncertain
train_558,Plan includes monitoring for edema after persistent leukocytosis.,edema,uncertain
train_559,Treat as edema if confirmed after recent surgery.,edema,uncertain
train_560,Differential includes edema after an abnormal screening study.,edema,uncertain
train_561,Repeat imaging was recommended to evaluate for edema during preoperative assessment.,edema,uncertain
train_562,Treat as effusion if confirmed during follow-up imaging.,effusion,uncertain
train_563,Differential includes effusion on morning rounds.,effusion,uncertain
train_564,Repeat imaging was recommended to evaluate for effusion with elevated inflammatory markers.,effusion,uncertain
train_565,Consider effusion if symptoms persist after repeat ultrasound.,effusion,uncertain
train_566,Cannot rule out effusion with tachycardia in triage.,effusion,uncertain
train_567,Further testing is needed to assess for effusion on contrast-enhanced CT.,effusion,uncertain
train_568,Plan includes monitoring for effusion in the emergency department.,effusion,uncertain
train_569,Treat as effusion if confirmed while receiving inpatient care.,effusion,uncertain
train_570,Differential includes effusion during workup for leg pain.,effusion,uncertain
train_571,Repeat imaging was recommended to evaluate for effusion with worsening shortness of breath.,effusion,uncertain
train_572,Consider effusion if symptoms persist during evaluation for chest pain.,effusion,uncertain
train_573,Cannot rule out effusion on portable chest radiograph.,effusion,uncertain
train_574,Further testing is needed to assess for effusion after persistent leukocytosis.,effusion,uncertain
train_575,Consider infiltrate if symptoms persist on discharge summary review.,infiltrate,uncertain
train_576,Cannot rule out infiltrate after a fall at home.,infiltrate,uncertain
train_577,Further testing is needed to assess for infiltrate during admission for dyspnea.,infiltrate,uncertain
train_578,Plan includes monitoring for infiltrate during follow-up imaging.,infiltrate,uncertain
train_579,Treat as infiltrate if confirmed on morning rounds.,infiltrate,uncertain
train_580,Differential includes infiltrate with elevated inflammatory markers.,infiltrate,uncertain
train_581,Repeat imaging was recommended to evaluate for infiltrate after repeat ultrasound.,infiltrate,uncertain
train_582,Consider infiltrate if symptoms persist with tachycardia in triage.,infiltrate,uncertain
train_583,Cannot rule out infiltrate on contrast-enhanced CT.,infiltrate,uncertain
train_584,Further testing is needed to assess for infiltrate in the emergency department.,infiltrate,uncertain
train_585,Plan includes monitoring for infiltrate while receiving inpatient care.,infiltrate,uncertain
train_586,Treat as infiltrate if confirmed during workup for leg pain.,infiltrate,uncertain
train_587,Differential includes infiltrate with worsening shortness of breath.,infiltrate,uncertain
train_588,Plan includes monitoring for opacity with a history of cancer.,opacity,uncertain
train_589,Treat as opacity if confirmed with pleuritic symptoms.,opacity,uncertain
train_590,Differential includes opacity after outpatient referral.,opacity,uncertain
train_591,Repeat imaging was recommended to evaluate for opacity on discharge summary review.,opacity,uncertain
train_592,Consider opacity if symptoms persist after a fall at home.,opacity,uncertain
train_593,Cannot rule out opacity during admission for dyspnea.,opacity,uncertain
train_594,Further testing is needed to assess for opacity during follow-up imaging.,opacity,uncertain
train_595,Plan includes monitoring for opacity on morning rounds.,opacity,uncertain
train_596,Treat as opacity if confirmed with elevated inflammatory markers.,opacity,uncertain
train_597,Differential includes opacity after repeat ultrasound.,opacity,uncertain
train_598,Repeat imaging was recommended to evaluate for opacity with tachycardia in triage.,opacity,uncertain
train_599,Consider opacity if symptoms persist on contrast-enhanced CT.,opacity,uncertain
train_600,Cannot rule out opacity in the emergency department.,opacity,uncertain
